post_id,timestamp,text,LIKE,HAHA,SAD,LOVE,ANGRY,WOW,PRIDE
5281959998_10151222132429999,2017-07-05T15:40:00+0000,Barack%20Obama%20warned%20President%20Donald%20J.%20Trump%20that%20North%20Korea%20would%20be%20the%20gravest%20foreign%20threat%20he%20faced.,223,2,19,3,3,21,0
5281959998_10151217150314999,2017-07-05T03:25:00+0000,Few%20people%20can%20relate%20to%20Katie%20Ledecky%27s%20experience%20of%20stardom%20as%20a%20teenage%20swimmer.%20Chris%20Olmstead%20can.,342,0,0,28,0,6,0
5281959998_10151221423909999,2017-07-05T06:55:02+0000,%22This%20is%20a%20personal%20family%20issue%2C%20and%20it%20shouldn%27t%20be%20brought%20to%20the%20national%20level%20because%20it%20might%20create%20a%20bad%20impression%20around%20the%20world%2C%22%20said%20a%20student.,257,15,6,11,1,19,0
5281959998_10151215900154999,2017-07-04T22:25:00+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20Being%20blind%20in%20%20public%20school%20made%20his%20heart%20go%20a%20notch%20faster.%20So%20did%20being%20near%20Linda.,183,1,2,21,0,0,0
5281959998_1884656481751865,2017-07-04T15:38:31+0000,Step%20into%20the%20factory%20of%20the%20Grucci%27s%2C%20who%20have%20been%20creating%20fireworks%20since%201850%20and%20are%20among%20the%20oldest%20fireworks%20companies%20in%20the%20country.%20Watch%20more%20%23Daily360%3A%20http%3A//nyti.ms/2ru0Jzt,409,0,1,12,0,17,0
5281959998_10151214072764999,2017-07-04T08:55:00+0000,%22Part%20of%20what%20makes%20the%20modern%20use%20of%20%u2018winning%u2019%20so%20strange%20is%20that%20it%u2019s%20often%20used%20in%20contexts%20that%20are%20not%20competitions.%22,432,23,10,27,5,8,0
5281959998_10151218103149999,2017-07-04T08:25:00+0000,Cookouts%2C%20hiking%2C%20picnics%20%u2014%20hopefully%20wherever%20you%20are%20this%20weekend%2C%20you%27re%20spending%20some%20time%20outdoors.,105,2,0,5,0,5,0
5281959998_10151221068369999,2017-07-04T02:37:27+0000,Breaking%20News%3A%20Gov.%20Chris%20Christie%20and%20the%20New%20Jersey%20Assembly%20have%20a%20budget%20deal.%20It%20could%20mean%20that%20state%20beaches%20and%20parks%20reopen%20for%20July%204.,400,155,2,7,6,32,0
5281959998_10151222033974999,2017-07-05T10:37:58+0000,Emirates%20is%20the%20second%20airline%20to%20receive%20an%20exemption.%20Etihad%20Airways%20was%20granted%20approval%20on%20Sunday.,373,4,0,12,1,17,0
5281959998_10151222047639999,2017-07-05T11:07:53+0000,Medicaid%20is%20now%20so%20big%20%u2014%20and%20so%20popular%20%u2014%20that%20a%20proposal%20to%20roll%20it%20back%20could%20sink%20the%20Republican%20plan%20to%20repeal%20and%20replace%20the%20ACA.,753,13,5,61,3,26,0
5281959998_10151214080579999,2017-07-04T23:25:00+0000,For%20millennia%2C%20people%20were%20unable%20to%20explain%20nights%20that%20were%20mysteriously%20almost%20as%20bright%20as%20days.,535,3,0,12,0,61,0
5281959998_10151222079579999,2017-07-05T14:25:00+0000,Independence%20Day%20parades%20are%20normally%20a%20fat%20pitch%20down%20the%20middle%20for%20politicians.%20But%20this%20year%2C%20with%20voters%20angry%20over%20health%20care%2C%20many%20Republicans%20stayed%20away.,470,142,21,15,24,36,0
5281959998_10151217340114999,2017-07-05T05:25:00+0000,For%20the%20beauty%20do-it-yourselfer%2C%20we%20live%20in%20boom%20times.%20But%20consider%20your%20pores.,230,7,1,10,0,1,0
5281959998_10151221482474999,2017-07-04T18:26:01+0000,Thankfully%2C%20they%20%22didn%27t%20taste%20like%20fireworks%20at%20all%2C%22%20Tejal%20Rao%20writes.,156,27,1,6,0,3,0
5281959998_10151222165444999,2017-07-05T15:55:00+0000,%u201CI%20think%20that%20the%20governor-sitting-on-the-closed-beach%20thing%20made%20it%20so%20apparent%20whose%20fault%20this%20was.%20It%20was%20the%20guy%20on%20the%20beach.%u201D,687,97,5,30,22,14,0
5281959998_10151221372349999,2017-07-04T15:25:00+0000,%22Confidence%20isn%27t%20some%20magic%20elixir%20for%20the%20economy%2C%22%20Neil%20Irwin%20writes.,508,109,17,6,12,44,0
5281959998_10151220612304999,2017-07-04T03:25:00+0000,Someone%20once%20said%3A%20If%20it%20isn%u2019t%20broke%2C%20don%u2019t%20fix%20it.%20That%20person%20does%20not%20work%20for%20Oreo.,530,114,7,15,5,40,0
5281959998_10151222148289999,2017-07-05T15:25:00+0000,%u201CTrade%20between%20China%20and%20North%20Korea%20grew%20almost%2040%25%20in%20the%20first%20quarter%2C%u201D%20President%20Donald%20J.%20Trump%20tweeted.%20%u201CSo%20much%20for%20China%20working%20with%20us%20%u2014%20but%20we%20had%20to%20give%20it%20a%20try%21%u201D,122,54,10,4,68,17,0
5281959998_10151217230969999,2017-07-05T02:25:00+0000,Vince%20Staples%20is%20held%20up%20as%20a%20protector%20of%20hip-hop%20lyricism%2C%20in-the-trenches%20protest%20songs%2C%20social-media%20authenticity%20and%20so%20on.%0A%0AHe%20wants%20no%20part%20of%20it.,359,1,0,24,0,4,0
5281959998_10151221022764999,2017-07-04T09:55:00+0000,It%27s%20one%20of%20the%20more%20unpopular%20provisions%20of%20the%20Affordable%20Care%20Act%2C%20which%20requires%20most%20Americans%20to%20have%20health%20insurance%20or%20pay%20a%20tax%20penalty.,354,12,25,18,382,41,0
5281959998_10151221374679999,2017-07-04T14:55:00+0000,By%20forging%20ahead%20with%20their%20own%20accord%20before%20the%20meeting%20with%20Donald%20J.%20Trump%20and%20other%20heads%20of%20state%2C%20Europe%20and%20Japan%20threatened%20to%20isolate%20the%20U.S.%20in%20important%20industries.,689,88,102,17,16,55,0
5281959998_10151222541429999,2017-07-05T20:02:16+0000,Join%20us%20for%20a%20live%20illustration%20with%20Ruth%20Chan%2C%20the%20author%20and%20illustrator%20of%20the%20picture%20books%20about%20the%20saucer-eyed%20cat%20Georgie%20and%20his%20friends%20that%20are%20making%20a%20splash.%20Leave%20your%20questions%20in%20the%20comments%2C%20and%20The%20Times%27s%20Maria%20Russo%20will%20ask%20some.,186,0,0,28,0,6,0
5281959998_10151218091589999,2017-07-04T10:25:00+0000,July%204%20isn%27t%20complete%20without%20dessert.,229,2,0,11,0,1,0
5281959998_10151218085909999,2017-07-04T20:25:00+0000,Something%20to%20nibble%20on%20while%20the%20main%20course%20is%20on%20the%20grill.,218,1,0,21,0,2,0
5281959998_10151221406659999,2017-07-04T16:25:00+0000,Benjamin%20Netanyahu%20-%20%u05D1%u05E0%u05D9%u05DE%u05D9%u05DF%20%u05E0%u05EA%u05E0%u05D9%u05D4%u05D5%20has%20withdrawn%20from%20a%20government%20deal%20to%20allow%20women%20and%20men%20to%20pray%20together%20at%20the%20Western%20Wall.,235,14,194,7,506,44,0
5281959998_10151222167659999,2017-07-05T19:25:00+0000,The%20end%20is%20in%20sight%20for%20%22Game%20of%20Thrones.%22%20And%20for%20the%20actress%20who%20plays%20Cersei%20Lannister%2C%20%22life%u2019s%20been%20mad%20for%20the%20last%20year.%22,535,0,0,52,0,5,0
5281959998_10151221030144999,2017-07-04T03:55:00+0000,Fact%20check%3A%20GOP%20lawmakers%20have%20their%20own%20version%20of%20the%20facts%20about%20the%20impact%20of%20their%20replacement%20for%20the%20Affordable%20Care%20Act.,499,4,35,3,400,59,0
5281959998_10151221192449999,2017-07-04T06:56:28+0000,Breaking%3A%20North%20Korea%20said%20on%20Tuesday%20that%20it%20had%20successfully%20conducted%20its%20first%20test%20of%20an%20intercontinental%20ballistic%20missile%2C%20which%20experts%20say%20is%20capable%20of%20reaching%20Alaska.,415,17,61,15,248,204,1
5281959998_10151221424819999,2017-07-04T17:25:00+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20%22The%20trouble%20with%20the%20authoritarian%20course%20President%20Erdogan%20has%20chosen%20is%20that%20once%20you%20start%20trying%20to%20suppress%20opposition%2C%20you%20cannot%20stop.%22,835,2,12,82,1,68,0
5281959998_10151222177944999,2017-07-05T14:55:01+0000,A%20white%20male%20coin%20maker%20strode%20across%20the%20Mint%20to%20the%20workstation%20of%20an%20African-American%20colleague.%20In%20his%20hand%20was%20a%20hangman%u2019s%20noose.,90,1,172,3,703,31,0
5281959998_10151220997569999,2017-07-04T01:55:01+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20States%20responded%20to%20the%20Trump%20voter-fraud%20commission%27s%20request%20for%20data%20like%20it%20was%20an%20email%20from%20a%20Nigerian%20prince.,645,270,7,49,16,13,0
5281959998_10151221475624999,2017-07-05T05:55:00+0000,The%20plan%20has%20been%20effectively%20killed%20after%2032%20people%20from%20an%20investment%20company%20that%20backed%20the%20project%20were%20arrested.,508,156,42,6,4,188,0
5281959998_10151221602574999,2017-07-04T19:40:01+0000,%22I%27ll%20eat%20a%20cheeseburger%2C%20sure.%20But%20I%20also%20think%20we%20are%20all%20redefining%20what%20freedom%20actually%20means%20in%20the%20States%20right%20now%2C%22%20Katy%20Perry%20said.,713,45,2,40,6,3,0
5281959998_10151222305259999,2017-07-05T16:12:06+0000,LUMA%20Arles%2C%20a%20new%20cultural%20complex%20in%20a%20disused%20train%20depot%20in%20Arles%2C%20France%2C%20has%20been%20masterminded%20and%20largely%20funded%20by%20the%20Swiss%20philanthropist%20Maja%20Hoffman.%20Join%20Maja%20as%20she%20talks%20to%20NYT%20journalist%20Roslyn%20Sulcas%20about%20the%20inspiration%20behind%20the%20project%20and%20the%20Frank%20Gehry%20Tower%20at%20the%20heart%20of%20the%20area.%20Leave%20your%20questions%20in%20the%20comments%20below.,469,4,5,80,1,22,0
5281959998_10151221376084999,2017-07-04T14:31:07+0000,On%20London%u2019s%20streets%2C%20there%20is%20a%20low-level%20guerrilla%20war%20between%20black%20cabs%20and%20Uber.%20Join%20Zahra%20Bakkali%2C%20an%20Uber%20driver%2C%20and%20Paul%20Walsh%2C%20a%20black%20cab%20driver%2C%20as%20they%20meet%20after%20a%20Times%20article%20that%20compared%20their%20lives.%20Submit%20your%20questions%20for%20Zahra%20and%20Paul%2C%20and%20NYT%20reporter%20Katrin%20Bennhold%20will%20ask%20some.,671,18,8,92,8,47,0
5281959998_10151220981119999,2017-07-04T01:25:00+0000,%u201CHe%20is%20not%20going%20to%20get%20big%20crowds%20applauding%20him%2C%u201D%20Eric%20Bauman%2C%20California%27s%20Democratic%20leader%20said%20of%20a%20Trump%20visit%20to%20the%20state.%20%u201CHe%20is%20going%20to%20get%20big%20crowds%20booing%20him.%20He%20can%u2019t%20stand%20being%20booed.%u201D,705,220,2,58,4,11,0
5281959998_10151222024899999,2017-07-05T11:55:01+0000,One%20hundred%20immigrants%20took%20part%20in%20a%20naturalization%20ceremony%20Tuesday.%20Some%20came%20from%20countries%20that%20President%20Donald%20J.%20Trump%20has%20sought%20to%20block%20in%20his%20travel%20ban.,831,6,1,154,2,6,0
5281959998_10151220951069999,2017-07-04T06:55:00+0000,Drone%20footage%20taken%20in%20Mosul%2C%20Iraq%2C%20on%20July%203%20shows%20destruction%20throughout%20the%20city.%0A%0ACivilians%20are%20emerging%20starving%2C%20injured%2C%20and%20traumatized%20from%20the%20final%20areas%20of%20Mosul%20under%20ISIS%20control.%20Read%20more%3A%20http%3A//nyti.ms/2skgOoy,214,2,671,3,77,33,0
5281959998_10151222209839999,2017-07-05T16:25:00+0000,From%20Noam%20Chomsky%20in%20The%20New%20York%20Times%20Opinion%20Section%3A%20%22The%20most%20important%20issues%20to%20address%20are%20the%20truly%20existential%20threats%20we%20face%3A%20climate%20change%20and%20nuclear%20war.%22,865,4,71,44,6,10,0
5281959998_10151222015524999,2017-07-05T09:48:26+0000,Miosotis%20Familia%2C%20a%2048-year%20old%20police%20officer%2C%20was%20shot%20in%20the%20head%20while%20sitting%20in%20a%20police%20vehicle%20in%20the%20Bronx.,121,0,612,4,244,19,0
5281959998_10151221315939999,2017-07-04T12:48:50+0000,%22I%20wanted%20to%20create%20a%20wall%20made%20by%20Mexicans%20with%20Mexican%20earth%2C%22%20the%20artist%20said.%20%22Then%20the%20disappearance%20of%20the%20wall%20will%20be%20by%20the%20community%20and%20all%20kinds%20of%20people%20who%20visit%20the%20park.%22,816,40,0,135,0,9,0
5281959998_10151222072299999,2017-07-05T11:45:01+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20As%20Chris%20Christie%20took%20in%20the%20sun%2C%20he%20doled%20out%20a%20lesson%2C%20the%20same%20one%20that%20Donald%20J.%20Trump%20is%20delivering%20on%20a%20daily%20basis%20and%20in%20a%20grander%20fashion%3A%20Beware%20the%20politician%20who%20doesn%u2019t%20give%20a%20damn%20for%20decorum.%22,691,9,74,2,207,17,0
5281959998_10151222011769999,2017-07-05T10:25:00+0000,Polish%20officials%20are%20bragging%3A%20On%20Donald%20J.%20Trump%27s%20way%20to%20the%20G20%2C%20he%20is%20coming%20to%20Poland%20first%2C%20choosing%20it%20over%20more%20powerful%20American%20allies%20like%20Germany%2C%20France%20or%20Britain.,355,162,62,15,191,41,0
5281959998_10151221100684999,2017-07-04T03:40:01+0000,President%20Donald%20J.%20Trump%20tweeted%3A%20%u201CNorth%20Korea%20has%20just%20launched%20another%20missile.%20Does%20this%20guy%20have%20anything%20better%20to%20do%20with%20his%20life%3F%u201D,360,318,44,3,208,67,0
5281959998_10151222145844999,2017-07-05T17:55:00+0000,Hell%20hath%20no%20fury%20like%20a%20fashion%20editor%20fired.,858,23,1,61,0,14,0
5281959998_10151222005054999,2017-07-05T12:55:00+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20%22Right%20now%2C%20Sean%20Hannity%20might%20have%20more%20power%20over%20an%20impeachment%20process%20than%20Paul%20Ryan%20or%20Mitch%20McConnell.%22,618,107,67,4,147,57,0
5281959998_10151221058244999,2017-07-04T02:25:00+0000,Dave%20McClure%2C%20a%20prominent%20Silicon%20Valley%20investor%2C%20resigned%20on%20Monday%20and%20apologized%20for%20his%20behavior%20in%20a%20post%20titled%20%u201CI%u2019m%20a%20creep.%20I%u2019m%20sorry.%u201D,801,7,5,10,120,57,0
5281959998_10151221065404999,2017-07-04T11:25:01+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20%22This%20commission%20is%20not%20meant%20to%20ensure%20that%20America%u2019s%20voter%20rolls%20are%20accurate.%20It%20is%20meant%20to%20disenfranchise%20voters%2C%22%20writes%20Dale%20Ho%20of%20the%20ACLU%20Nationwide.,401,10,65,0,509,15,0
5281959998_10151221038674999,2017-07-04T11:55:01+0000,Experts%20say%20the%20Northern%20U.S.%20may%20be%20in%20for%20a%20bad%20tick%20season%20this%20summer%2C%20raising%20concerns%20about%20Lyme%20and%20other%20tick-borne%20diseases.,545,1,169,6,16,263,0
5281959998_10151221588594999,2017-07-04T18:55:00+0000,The%20long%20journey%20for%20the%20parents%20of%20a%20baby%20who%20cannot%20breathe%20or%20move%20on%20his%20own%20seemed%20to%20have%20come%20to%20an%20end%20last%20week.%20Then%20Pope%20Francis%20and%20President%20Donald%20J.%20Trump%20weighed%20in.,446,0,379,16,116,10,0
5281959998_10151220820319999,2017-07-04T13:30:00+0000,Wimbledon%20has%20a%20strict%20%u201Calmost%20entirely%20in%20white%u201D%20courtside%20dress%20code.%20So%20players%20have%20gotten%20creative.,915,26,0,16,0,2,0
5281959998_10151222110849999,2017-07-05T13:25:01+0000,Volvo%20Cars%20said%20that%20all%20of%20the%20models%20it%20introduces%20from%202019%20will%20be%20either%20hybrids%20or%20powered%20solely%20by%20batteries.,844,2,1,96,1,56,0
5281959998_10151221024199999,2017-07-04T10:55:00+0000,In%202016%2C%20the%20fertility%20rate%20in%20the%20United%20States%20was%20the%20lowest%20it%20has%20ever%20been.,774,2,34,86,0,104,0
5281959998_10151221565229999,2017-07-04T19:55:01+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20The%20The%20Star-Ledger%2C%20and%20Twitter%20users%2C%20immortalized%20Governor%20Chris%20Christie%20holiday%20on%20a%20state%20beach%20he%20had%20ordered%20closed.,498,236,16,5,217,28,0
5281959998_10151221033614999,2017-07-04T04:25:00+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20Nothing%20in%20our%20evolution%20has%20prepared%20us%20for%20the%20double%20whammy%20of%20caloric%20modern%20food%20and%20potent%20recreational%20drugs.%20Their%20power%20to%20activate%20our%20reward%20circuit%2C%20rewire%20our%20brain%20and%20nudge%20us%20in%20the%20direction%20of%20compulsive%20consumption%20is%20unprecedented.,843,2,12,16,3,124,0
5281959998_10151221515024999,2017-07-04T19:25:01+0000,Ancient%20Africans%20walked%20into%20Europe%20much%20earlier%20than%20previously%20known%2C%20a%20new%20analysis%20found.,870,1,0,27,0,102,0
5281959998_10151221486229999,2017-07-04T22:55:00+0000,From%20The%20New%20York%20Times%20Opinion%20Section%3A%20%22Why%20do%20working-class%20conservatives%20seem%20to%20vote%20so%20often%20against%20their%20own%20economic%20interests%3F%20My%20stab%20at%20an%20answer%20would%20begin%20in%20the%2018th%20and%2019th%20centuries.%22,893,10,16,20,2,59,0
